cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms,chip_atten,ours_atten,excess_atten
795,56.0,60.0,20.0,21.0,23.0,2.0,0.007898,0.9019,11901.0,4217.0,10400.0,4557.4,0.9253,1.1443,5184.8,5109.2,0.18666100910353345,0.10800125264229232,0.07865975646124113
796,56.0,64.0,20.0,21.0,24.0,3.0,0.0153,0.89887,12801.0,4379.9,11347.0,4783.7,0.9156,1.1281,5184.8,5109.2,0.1552422465668879,0.0637086040867455,0.0915336424801424
797,56.0,68.0,20.0,21.0,26.0,5.0,0.022268,0.896912,12626.0,4413.8,10250.0,4639.9,0.9513,1.2318,5184.8,5109.2,0.1487039037185619,0.09185391059265646,0.05684999312590544
798,56.0,72.0,20.0,21.0,27.0,6.0,0.028796,0.894861,12611.0,4493.3,10250.0,4512.6,0.9957,1.2303,5184.8,5109.2,0.13337062181762072,0.11676974868863998,0.01660087312898073
799,56.0,76.0,20.0,21.0,29.0,8.0,0.034897,0.848391,13554.0,4803.2,10937.0,4628.2,1.0378,1.2393,5184.8,5109.2,0.07359975312451794,0.09414389728333206,-0.020544144158814115
800,56.0,80.0,20.0,21.0,31.0,10.0,0.04096,0.818795,12899.0,4669.9,10250.0,4359.0,1.0713,1.2584,5184.8,5109.2,0.09930952013578165,0.14683316370468957,-0.047523643568907925
801,56.0,84.0,20.0,21.0,33.0,12.0,0.046452,0.753372,14405.0,4642.6,11394.0,4311.8,1.0767,1.2643,5184.8,5109.2,0.10457491127912355,0.15607140061066305,-0.0514964893315395
802,56.0,88.0,20.0,21.0,35.0,14.0,0.051617,0.743785,13589.0,4803.5,10836.0,4236.0,1.134,1.2541,5184.8,5109.2,0.07354189168338221,0.17090738276051043,-0.09736549107712822
803,56.0,92.0,20.0,21.0,37.0,16.0,0.056467,0.650446,15256.0,4800.9,11797.0,4203.1,1.1422,1.2932,5184.8,5109.2,0.07404335750655777,0.177346747044547,-0.10330338953798923
804,56.0,96.0,20.0,21.0,40.0,19.0,0.061022,0.636406,15410.0,4917.6,10250.0,3966.5,1.2398,1.5034,5184.8,5109.2,0.051535256904798654,0.22365536678932119,-0.17212010988452253
805,56.0,100.0,20.0,21.0,42.0,21.0,0.065314,0.634215,15726.0,4937.2,10250.0,3876.8,1.2735,1.5342,5184.8,5109.2,0.04775497608393775,0.24121193141783448,-0.19345695533389673
806,56.0,104.0,20.0,21.0,45.0,24.0,0.069354,0.592085,16559.0,5013.1,10250.0,4003.0,1.2523,1.6155,5184.8,5109.2,0.0331160314766239,0.21651139121584595,-0.18339535973922205
807,56.0,108.0,20.0,21.0,48.0,27.0,0.073136,0.515432,16873.0,5034.3,10250.0,4002.9,1.2577,1.6461,5184.8,5109.2,0.029027156303039647,0.21653096375166359,-0.18750380744862394
808,56.0,112.0,20.0,21.0,51.0,30.0,0.076699,0.504607,18034.0,4815.7,10339.0,4067.9,1.1838,1.7443,5184.8,5109.2,0.0711888597438668,0.2038088154701323,-0.1326199557262655
809,56.0,116.0,20.0,21.0,54.0,33.0,0.080042,0.473167,14151.0,4409.7,10250.0,3952.9,1.1156,1.3806,5184.8,5109.2,0.14949467674741557,0.22631723166053386,-0.07682255491311829
810,60.0,60.0,20.0,23.0,23.0,0.0,0.0,1.0,11801.0,5401.0,13359.0,5178.5,1.043,0.8834,5254.7,5224.2,-0.027841741678878096,0.008747750851805014,-0.03658949253068311
811,60.0,64.0,20.0,23.0,24.0,1.0,0.007402,0.993421,12290.0,4658.0,13015.0,4613.2,1.0097,0.9443,5254.7,5224.2,0.11355548366224522,0.11695570613682482,-0.003400222474579606
812,60.0,68.0,20.0,23.0,26.0,3.0,0.01437,0.951277,12588.0,4524.5,13015.0,4733.0,0.956,0.9672,5254.7,5224.2,0.1389613108264982,0.09402396539183033,0.044937345434667875
813,60.0,72.0,20.0,23.0,27.0,4.0,0.020898,0.950372,12992.0,4416.1,13015.0,4706.0,0.9384,0.9982,5254.7,5224.2,0.15959046187222858,0.09919222081849854,0.06039824105373004
814,60.0,76.0,20.0,23.0,29.0,6.0,0.026999,0.897093,12875.0,4699.1,13015.0,4689.5,1.002,0.9892,5254.7,5224.2,0.10573391440044144,0.10235059913479572,0.0033833152656457255
815,60.0,80.0,20.0,23.0,31.0,8.0,0.033062,0.880511,13812.0,4742.1,13015.0,4684.4,1.0123,1.0612,5254.7,5224.2,0.097550764077873,0.10332682515983316,-0.00577606108196016
816,60.0,84.0,20.0,23.0,33.0,10.0,0.038554,0.823914,14253.0,4720.5,13015.0,4616.5,1.0225,1.0951,5254.7,5224.2,0.1016613698213028,0.11632403047356532,-0.014662660652262516
817,60.0,88.0,20.0,23.0,35.0,12.0,0.043719,0.804607,14588.0,4809.6,13015.0,4375.1,1.0993,1.1209,5254.7,5224.2,0.08470512112965523,0.16253206232533202,-0.07782694119567679
818,60.0,92.0,20.0,23.0,37.0,14.0,0.048569,0.759629,14896.0,4893.2,13015.0,4313.3,1.1345,1.1445,5254.7,5224.2,0.06879555445601082,0.17436162474637262,-0.1055660702903618
819,60.0,96.0,20.0,23.0,40.0,17.0,0.053124,0.739229,14829.0,4667.1,13015.0,4056.5,1.1505,1.1394,5254.7,5224.2,0.11182370068700387,0.22351747636001684,-0.11169377567301297
820,60.0,100.0,20.0,23.0,42.0,19.0,0.057416,0.736368,14269.0,4400.8,13015.0,4005.3,1.0988,1.0964,5254.7,5224.2,0.1625021409404913,0.23331801998392088,-0.07081587904342956
821,60.0,104.0,20.0,23.0,45.0,22.0,0.061456,0.648138,13787.0,4178.2,13015.0,3905.8,1.0697,1.0593,5254.7,5224.2,0.20486421679639177,0.25236399831553147,-0.047499781519139694
822,60.0,108.0,20.0,23.0,48.0,25.0,0.065238,0.600738,14285.0,4301.3,13015.0,3857.0,1.1152,1.0976,5254.7,5224.2,0.18143757017527162,0.26170514145706514,-0.08026757128179351
