cell,low_b0,high_b0,b2,chip_atten,ours_atten,spec_atten,chip_residual,ours_residual
150,20,60,8,0.13695450324976788,0.05623705591843242,0.1457910232838422,-0.008836520034074313,-0.08955396736540977
151,20,64,8,0.10120705663881169,0.0732834156444161,0.10884505731821326,-0.007638000679401569,-0.03556164167379716
152,20,68,8,0.09068399876199318,0.0852317986299187,0.16033615744978114,-0.06965215868778796,-0.07510435881986244
153,20,72,8,0.05184153512844325,0.08491317508363883,0.14209868256317915,-0.0902571474347359,-0.05718550747954032
154,20,76,8,0.05926957598266802,0.09925123466624197,0.13893970310085968,-0.07967012711819166,-0.03968846843461771
155,20,80,8,0.06282884555865065,0.13541500716902977,0.16007287085772537,-0.09724402529907472,-0.024657863688695603
156,20,84,8,0.15567935623645934,0.1671180500238969,0.14414057521790247,0.011538781018556876,0.022977474805994436
157,20,88,8,0.1609408851748685,0.1666401147044767,0.16611718895816674,-0.005176303783298253,0.0005229257463099657
158,20,92,8,0.15567935623645934,0.16950772662099745,0.15694419840365792,-0.0012648421671985766,0.012563528217339526
159,20,96,8,0.1954503249767875,0.15931177314003508,0.15815328258755545,0.03729704238923204,0.0011584905524796296
160,20,100,8,0.2581244196843083,0.12426318304922734,0.14612466434889615,0.11199975533541218,-0.021861481299668806
161,20,104,8,0.3110492107706593,0.10482714672614313,0.1535391782494111,0.15751003252124818,-0.048712031523267973
162,20,108,8,0.3025379139585268,0.08507248685677882,0.16332391695963477,0.13921399699889203,-0.07825143010285596
163,20,112,8,0.3351903435468895,0.06786681535765493,0.17274533544730253,0.16244500809958695,-0.1048785200896476
164,20,116,8,0.3381306097183535,0.04349211406722964,0.1631050680417273,0.1750255416766262,-0.11961295397449767
166,24,28,8,0.14300117627289533,0.09718713154791991,0.10657688055948622,0.036424295713409105,-0.009389749011566306
167,24,32,8,0.15577213913627974,0.14687552636011458,0.13180809533417293,0.023964043802106816,0.015067431025941658
168,24,36,8,0.13392707108049073,0.15428667677278085,0.07896035182587391,0.054966719254616825,0.07532632494690694
169,24,40,8,0.14888254074945395,0.15108640727640232,0.14290426004243462,0.0059782807070193345,0.008182147233967707
170,24,44,8,0.1228364980675517,0.06754252989725451,0.09829516303895414,0.024541335028597566,-0.030752633141699626
171,24,48,8,0.07628969921021678,0.048509348155634235,0.08165187353163461,-0.005362174321417834,-0.033142525376000376
172,24,52,8,0.12418080994790792,0.1032508000673742,0.12204092174359715,0.002139888204310769,-0.01879012167622296
173,24,56,8,0.1418249033775837,0.1312110493515245,0.12049359925593395,0.02133130412164974,0.010717450095590553
174,24,60,8,0.1628297765081499,0.12110493515243403,0.10715650360543294,0.05567327290271695,0.013948431547001094
175,24,64,8,0.14652999495883057,0.1318847902981305,0.12032867591823637,0.026201319040594195,0.011556114379894122
176,24,68,8,0.11443454881532522,0.1684352366515076,0.1239626673912283,-0.009528118575903077,0.044472569260279315
177,24,72,8,0.1078810283985886,0.17534108135421933,0.16388502304637886,-0.05600399464779027,0.011456058307840467
178,24,76,8,0.09679045538564945,0.13929594071079676,0.13150944512279095,-0.03471898973714149,0.007786495588005815
