cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms
475,0,40,20,9,17,8,0.143564,0.731091,6965.0,3511.2,7681.0,3764.2,0.9328,0.9068,4636.1,4601.7
476,0,44,20,9,18,9,0.153662,0.609835,7020.0,3459.9,8290.0,3832.5,0.9028,0.8468,4636.1,4601.7
477,0,48,20,9,19,10,0.163168,0.607893,8011.0,3439.4,8733.0,3779.7,0.9100,0.9173,4636.1,4601.7
478,0,52,20,9,20,11,0.172096,0.604020,7748.0,3369.0,7681.0,3766.0,0.8946,1.0087,4636.1,4601.7
479,0,56,20,9,21,12,0.180522,0.556244,7786.0,3622.4,7681.0,3810.6,0.9506,1.0137,4636.1,4601.7
480,0,60,20,9,23,14,0.188420,0.479235,9038.0,3541.7,9744.0,3829.0,0.9250,0.9275,4636.1,4601.7
481,0,64,20,9,24,15,0.195822,0.475977,8668.0,3553.5,7681.0,3858.8,0.9209,1.1285,4636.1,4601.7
482,0,68,20,9,26,17,0.202790,0.446252,9567.0,3400.6,8697.0,3818.7,0.8905,1.1000,4636.1,4601.7
483,0,72,20,9,27,18,0.209318,0.443621,9548.0,3358.2,9386.0,3810.6,0.8813,1.0173,4636.1,4601.7
484,0,76,20,9,29,20,0.215419,0.385358,10323.0,3355.3,7946.0,3712.8,0.9037,1.2991,4636.1,4601.7
485,0,80,20,9,31,22,0.221482,0.365365,10467.0,3347.7,7681.0,3529.6,0.9485,1.3627,4636.1,4601.7
486,0,84,20,9,33,24,0.226974,0.324358,8756.0,3096.5,7681.0,3515.0,0.8809,1.1400,4636.1,4601.7
487,0,88,20,9,35,26,0.232139,0.308884,8471.0,3208.8,7681.0,3440.6,0.9326,1.1029,4636.1,4601.7
488,0,92,20,9,37,28,0.236989,0.295049,7983.0,3082.8,7681.0,3476.7,0.8867,1.0393,4636.1,4601.7
489,0,96,20,9,40,31,0.241544,0.281429,7645.0,3016.8,7681.0,3488.6,0.8648,0.9953,4636.1,4601.7
490,0,100,20,9,42,33,0.245836,0.279943,7492.0,2943.6,7681.0,3599.8,0.8177,0.9754,4636.1,4601.7
491,0,104,20,9,45,36,0.249876,0.255188,8725.0,3107.7,7681.0,3629.0,0.8564,1.1359,4636.1,4601.7
492,0,108,20,9,48,39,0.253658,0.245478,8374.0,3157.9,7681.0,3643.5,0.8667,1.0902,4636.1,4601.7
493,0,112,20,9,51,42,0.257221,0.236817,8033.0,3152.0,9332.0,3762.6,0.8377,0.8608,4636.1,4601.7
494,0,116,20,9,54,45,0.260564,0.235173,10233.0,3517.6,9443.0,3864.1,0.9103,1.0837,4636.1,4601.7
495,4,4,20,9,9,0,0.000000,1.000000,7379.0,4656.3,7613.0,4587.5,1.0150,0.9693,4622.3,4562.9
496,4,8,20,9,10,1,0.017493,0.987532,7115.0,3489.4,7585.0,3910.2,0.8924,0.9380,4622.3,4562.9
497,4,12,20,9,11,2,0.033936,0.957720,7113.0,3278.1,7585.0,3840.7,0.8535,0.9378,4622.3,4562.9
498,4,16,20,9,11,2,0.049399,0.957720,7112.0,3194.4,7585.0,3864.9,0.8265,0.9376,4622.3,4562.9
499,4,20,20,9,12,3,0.063907,0.954119,7107.0,3324.1,7585.0,4111.9,0.8084,0.9370,4622.3,4562.9
500,4,24,20,9,13,4,0.077522,0.801020,7107.0,3205.4,7585.0,3657.2,0.8765,0.9370,4622.3,4562.9
501,4,28,20,9,14,5,0.090321,0.797819,7234.0,3235.5,7585.0,3704.4,0.8734,0.9537,4622.3,4562.9
